Market,ASEAN Market
PT. JAKARTA PROPERTINDO,1
PT. MASS RAPID TRANSIT JAKARTA,1
SEKOLAH TINGGI ILMU KEPOLISIAN,1
UNIVERSITAS BINA NUSANTARA,1
YAYASAN BINA NUSANTARA,1
Select Client BPST - New,26
T0012338,1
T0012347,15
BADAN KEPEGAWAIAN NEGARA,1
BAPEPAM,1
BKPM,1
DEPARTEMEN AGAMA REPUBLIK,1
DEPARTEMEN DALAM NEGERI,1
DEPARTEMEN PEKERJAAN UMUM RI,1
DEPARTEMEN TENAGA KERJA RI,1
DITJEN SUMBER DAYA DAN,1
KOMISI PEMILIHAN UMUM,1
KOMISI PEMILIHAN UMUM DAERAH,1
PEMERINTAH KABUPATEN PASURUAN,1
PT SANBE FARMA,1
PT. BINA SAN PRIMA,1
RUMAH SAKIT KANKER DHARMAIS,1
RUMAH SAKIT PUSAT ANGKATAN,1
T0012348,10
BADAN PENGUSAHAAN BATAM,1
BADAN PERENCANAAN PEMBANGUNAN,1
BADAN PERTANAHAN NASIONAL,1
BADAN SAR NASIONAL,1
DEPARTEMEN PERDAGANGAN,1
KEMENTERIAN KOPERASI DAN UKM,1
KEMENTERIAN PEMUDA DAN,1
MAHKAMAH KONSTITUSI REPUBLIK,1
SEKOLAH TINGGI ENERGI DAN,1
UNIVERSITAS ANDALAS,1
Indonesia ST-NCA Squad,1500
Select Client BPST - New,1500
T0012450,504
ABADI NIAGA PRIMA,1
ALP PETRO INDUSTRY,1
"AMAZON WEB SERVICES, INC.",1
ARTHA TEKNOLOGI,1
AUSTRALIAN FEDERAL POLICE-,1
AYANA RESORT & SPA,1
BADAN KOORD KEL BERENCANA NAS,1
BADAN PENDAPATAN DAERAH,1
BADAN PERENCANAAN DAERAH PROVI,1
BADAN REHABILITASI DAN,1
"BANK AGRIS, PT",1
BANK CENTRATAMA NASIONAL (CNB),1
BANK LIMAN INTERNATIONAL,1
BANK PEMBANGUNAN DAERAH,1
BANK PUNDI INDONESIA,1
BEND.UNIVERSITAS ISLAM NEGERI,1
BENDAHARA PEMEGANG KAS DINAS,1
BETHSAIDA HOSPITAL,1
BEYOND NOW GMBH,1
BINTAN LAGOON RESORT,1
BNN SATKER DEPUTI BIDANG,1
BOGORLIVE PROJECT,1
BPKP PERWAKILAN PROPINSI,1
BUT PEARLOIL (TUNGKAL) LTD,1
CHEMCO HARAPAN NUSANTARA,1
CIPTO SAPTADJI,1
CORAL TRIANGLE CENTER,1
CV ARTA RAYA,1
CV MAKARYA DUTA RAMA,1
CV. SINAR BAJA ELECTRIC,1
DEP KES-DITJEN PELAYANAN MEDIK,1
DEPARTEMEN PERTANIAN,1
DINAS KOMUNIKASI DAN,1
DINAS KOMUNIKASI INFORMATIKA,1
DINAS PENDAPATAN DAERAH PROV,1
"DINAS PENDAPATAN, PENGELOLAAN",1
DINAS PENDIDIKAN PROVINSI RIAU,1
DINAS PENGELOLAAN TEKNOLOGI,1
DIPENDA TK I JAWA TIMUR,1
DIPENDA TK.II KUTAI BONTANG,1
DIPENDA TK.II SLEMAN,1
DITJEN BIMAS ISLAM URUSAN HAJI,1
DOUBLETREE BY HILTON JAKARTA,1
DRACOOLA MULTIMEDIA,1
DUTA SARANA PERKASA PT,1
ELECTRONIC CITY INDONESIA PT,1
EMBASSY OF THE KINGDOM OF,1
"E-MOTION ENTERTAINMENT, PT",1
"EMPORIUM INDONESIA, PT",1
"FAVEO ENTERTAINMENT, PT",1
GAMETECHNO INDONESIA,1
GENERAL ELECTRIC FINANCE,1
HARAPAN BANGSA INTERNATIONAL,1
HARTONO PLANTATION INDONESIA,1
HASNUR GROUP,1
HERMINA GROUP,1
"HIBA UTAMA, PT",1
IAIN SUMATERA UTARA,1
IMS HEALTH,1
INFOTEK JAYA MAKMUR,1
JAKARTA HILTON HOTEL,1
JUMBO POWER INTERNATIONAL,1
KDB DAEWOO SECURITIES,1
KIWOOM SECURITIES INDONESIA PT,1
KMI WIRE AND CABLE,1
KONI PEKANBARU,1
KOPERASI SIMPAN PINJAM JASA,1
KRAFT FOOD INDONESIA,1
LAFARGE BORAL GYPSUM,1
LKBN ANTARA,1
LYMAN GROUP,1
MAYAPADA HOSPITAL,1
MC DONALD INDONESIA,1
"MEDIA INDONUSA,PT",1
"MEGAXUS INFOTECH, PT",1
MULTI TRADING PRATAMA,1
NIPPON INDOSARI,1
NITTSU LEMO INDONESIA LOGISTIK,1
"NUSA SATU INTI ARTHA, PT",1
NUSANTARA CAPITAL SECURITIES,1
ONLINE TRADING ACADEMY,1
P.T NODEFLUX INDONESIA,1
PARADOR HOTELS AND RESORTS,1
PARAMOUNT SERPONG,1
PD. BPR BANK PASAR KULON PROGO,1
PDAM SURABAYA,1
PELABUHAN III UTPK TG PERAK,1
"PELAYARAN FAJARINDO, PT",1
PEMERINTAH KABUPATEN SLEMAN,1
PEMERINTAH PROVINSI SULAWESI,1
PENGELUARAN BAGIAN PENGELOLA,1
"PERSEK.KURNIAWAN, RONAS,",1
PERUSAHAAN AIR MINUM TANGERANG,1
PETRONAS NIAGA INDONESIA,1
PIKSI-INST KEGURUAN I.PENDIDIK,1
PINEAPPLE CONNECT PTE LTD,1
POLITEKNIK NEGERI JAKARTA,1
POLITEKNIK PERTANIAN NEGERI,1
POLYMATECH INDONESIA,1
"PP DRS PRIJOHANDOJO,",1
PT  ELECTRONIC DATA,1
PT 3M INDONESIA,1
PT 66 PARADISE,1
PT ABC PRESIDENT INDONESIA,1
PT AC NIELSEN INDONESIA,1
PT AECOM INDONESIA,1
PT AGANSA PRIMATAMA,1
PT AGRO MAJU RAYA,1
PT ALSSA CORPORINDO,1
PT ANEKA INTIPERSADA,1
PT ANUGRAH JAYA INTI BERSAMA,1
PT ANUGRAH TEKNOLOGI INDONESIA,1
PT ARGO MANUNGGAL TEXTILE,1
PT ARSENAL SAKTI,1
PT ARTHA TELEKOMINDO,1
PT ASABA,1
PT ASIA MOTOR MAKMUR,1
PT AST INDONESIA,1
PT ASURANSI RAMA SATRIA WIBAWA,1
PT ASURANSI TAKAFUL KELUARGA,1
PT AVANEESH COAL RESOURCES,1
PT BANK INDONESIA RAYA,1
PT BANK MUTIARA TBK,1
PT BEHAESTEX,1
PT BELFOODS INDONESIA,1
PT BHUMIREKSA NUSASEJATI,1
PT BILLITON INDONESIA,1
PT BINA DATA MANDIRI,3
PT BINA SAINS CEMERLANG,1
PT BINUSATIKA,1
PT BIT TEKNOLOGI NUSANTARA,1
PT BOEHRINGER INGELHEIM,1
PT BUNDAMEDIK,1
PT CAHAYA SAKTI FURINTRACO,1
PT CATURKARDA DEPO BANGUNAN,1
PT CHINA COMSERVICE INDONESIA,1
PT CHINA INSURANCE INDONESIA,1
PT CHIYODA,1
PT CIBA VISION BATAM,1
PT CIPTA SAKSAMA INDONESIA,1
PT CIPTA SKYNINDO,1
PT CIPTA WIJAYA MANDIRI,1
PT COLIBRI NETWORKS,1
PT CONOCOPHILLIPS INDONESIA,1
PT CONTINENTAL PANJIPRATAMA,1
PT CONVERGYS INDONESIA,1
PT CRODA INDONESIA,1
PT D&D TECHNOLOGY,1
PT DATASCRIP,1
PT DAYA ADIRA MUSTIKA,1
PT DELTA DJAKARTA TBK,1
PT DENSO SALES,1
PT DHANAWIBAWA ARTHA CEMERLANG,1
PT DINERS JAYA INDONESIA,1
PT DIRGANTARA PARIPURNA PERSAD,1
PT DUNKINDO LESTARI,1
PT DYNAPLAST TBK,1
PT EAGLE INDO PHARMA,1
PT EISAI INDONESIA,1
PT ELECTROLUX INDONESIA,1
PT ERATEX DJAJA,1
PT ERICSSON INDONESIA,1
PT ESSENCE INDONESIA,1
PT EXPLOITASI ENERGI INDONESIA,1
PT EXSAMAP ASIA,1
PT FAJAR MAS MURNI,1
PT FINANNTARA INTIGA,1
PT GEMA TEKNOLOGI CAHAYA,1
PT GEODIS WILSON INDONESIA,1
PT GITASWARA INDONESIA,1
PT GLOBAL INTI CORPORATAMA,1
PT GOODYEAR INDONESIA TBK,1
PT GRAHA INTI JAYA (JULONG,1
PT GROWTH ASIA,1
PT GS BATTERY,1
PT GUDANG GARAM TBK,1
PT GUNUNG SUBUR SENTOSA,1
PT GUTHRIE PECCONINA INDONESIA,1
PT HAMADEN INDONESIA MFG,1
PT HATSONSURYA ELECTRIC,1
PT HOLCIM INDONESIA TBK,1
PT HUAWEI TECH INVESTMENT,1
PT INDESSO AROMA,1
PT INDESSO NIAGATAMA,1
PT INDOBUANA AUTORAYA,1
PT INDOBUILDCO,1
PT INDONESIA NIPPON SEIKI,1
PT INDOTRUBA TENGAH,1
PT INET INDONESIA,1
PT INFO LAB INDONESIA,1
PT INFOGRAM TELEMEDIA,1
PT INFOSYS SOLUSI TERPADU,1
PT INFRACOM TECHNOLOGY,1
PT ING LIFE INDONESIA,1
PT INTERDATA BHAKTI MULYA,1
PT INTI DUFREE PROMOSINDO,1
PT INTRACO PENTA,1
PT JAKARTA CAKRATUNGGAL STEEL,1
PT JASAMEDIKA SARANATAMA,1
PT JATIS SOLUTIONS ECOM,1
PT JUSTUS KIMIARAYA,1
PT JVC ELECTRONICS INDONESIA,1
PT JVC INDONESIA,1
PT KALINGGA KENCANA,2
PT KALTIM METHANOL INDUSTRI,1
PT KARYA PACIFIC SHIPPING,1
PT KEONG NUSANTARA ABADI,1
PT KINERJA INDONESIA,1
PT KNAUF GYPSUM INDONESIA,1
PT KODECO ENERGY CO LTD,1
PT KOLON INA,1
PT KOMATSU FORGING INDONESIA,1
PT KOMATSU INDONESIA,1
PT KOMATSU MARKETING AND,2
PT KOMATSU UNDERCARRIAGE,1
PT KORINDO ARIABIMA SARI,1
PT KSB INDONESIA,1
PT LABERSA HUTAHAEAN,1
PT LADANGRUMPUN SUBURABADI,1
PT LAHAN TANI SAKTI,1
PT LANGGENG MUARAMAKMUR,1
PT LEARNING RESOURCES,1
PT LINC SOLUTIONS,1
PT LOGAM SARI BEARINDO,1
PT MAHAKAM SUMBER JAYA,1
PT MAJU RAYA SEJAHTERA,1
PT MASPION,1
PT MASTER WEB NETWORK,1
PT MATAHARI KAHURIPAN,1
PT MCDERMOTT INDONESIA,1
PT MEKAR ARMADA JAYA,1
PT MENTARI PERSADA AGUNGMAS,1
PT MERKLE INOVASI TEKNOLOGI,1
PT METRA DIGITAL MEDIA,1
PT MINAMAS GEMILANG,1
PT MITRA INTEGRASI KOMPUTINDO,1
PT MITSUBA INDONESIA,1
PT MITSUBISHI HC CAPITAL AND,1
PT MITSUI OSK LINES INDONESIA,1
PT MOBILE-8 TELECOM,1
PT MURNI SOLUSINDO NUSANTARA,1
PT NATRA RAYA,1
PT NETSTAR INDONESIA,1
PT NEX LOGISTICS INDONESIA,1
PT NEXT INS INDONESIA,1
PT NIAGA PRIMA PARAMITRA,1
PT NIPPON STEEL CONSTRUCTION,1
PT NIRWANA LESTARI,1
PT NISSAN MOTOR DISTRIBUTOR,1
PT NISSAN MOTOR INDONESIA,2
PT NOVARTIS INDONESIA,1
PT NUSA HALMAHERA MINERALS,1
PT NUSA SATU INTI ARTHA,1
PT NUSANTARA SEJAHTERA RAYA,1
PT NUSANTARA SYSTEMS INT'L,1
PT NUSAUTAMA MEDICALINDO,1
PT NYK LINE INDONESIA,1
PT OMYA INDONESIA,1
PT OTOMOTIF MEDIATAMA,1
PT PACIFIC HEALTHCARE SERVICES,1
PT PANGGUNG ELECTRIC,1
PT PARIPURNA SWAKARSA,1
PT PELITA SAMUDERA SHIPPING,2
PT PELITA SAMUDERA SHIPPINGTBK,2
PT PERTAFENIKKI ENGINEERING,1
PT PETNESIA RESINDO,1
PT PETROSEA,1
PT PFIZER INDONESIA,1
PT PGS NUSANTARA,1
PT PHAROS INDONESIA,1
PT PHILIPS INDONESIA,2
PT PIONEER TRADING CO LTD,1
PT PLATINUM CERAMICS,1
"PT POLYSINDO EKA PERKASA, TBK",1
PT PRIMA KARYA SARANA,1
PT PRISMA GLOBAL SOLUSI,1
PT PRO SISTIMATIKA AUTOMASI,1
PT PRODIA WIDYAHUSADA,1
PT PZ CUSSONS INDONESIA,1
PT Q2 TECHNOLOGIES,1
PT RAMAYANA LESTARI,1
PT RODA SAKTI SURYARAYA,1
PT RUANG RAYA INDONESIA,1
PT RUKUN SEJAHTERA TEKNIK,1
PT SANDOZ INDONESIA,1
PT SANY INDONESIA MACHINERY,1
PT SARANA MEDIAJASA,1
PT SERAPHIM DIGITAL TECHNOLOGY,1
PT SHOWA INDONESIA MFG,1
PT SIME INDO AGRO,1
PT SINAR WAJA INDAH,1
PT SINERGY INFORMASI PRATAMA,1
PT SKILL (SUMBER KOMP I.LUHUR),1
PT SOLUSI MITRA ANDALAN,1
PT SOLUSINDO KREASI PRATAMA,1
PT SPORT GLOVE INDONESIA,1
PT STANDARD TOYO POLIMER,1
PT STYRON INDONESIA,1
PT SUBUR DJAJA DIESINDO,1
PT SUBUR DJAJA TEGUH,1
PT SUMMARECON AGUNG TBK,1
PT SUPRA LUXINDO UTAMA,1
PT SURA INDAH WOOD INDUSTRIES,1
PT SURVEY PRIMA SOLUSI,2
PT SURYA MADISTRINDO,2
PT SWADAYA ANDIKA,1
PT SWADHARMA DUTA DATA,1
PT SYARIKAT TAKAFUL INDONESIA,1
PT TANITO HARUM,1
PT TANJUNG ENIM LESTARI,1
PT TEAC ELECTRONICS INDONESIA,1
PT TECHNIP INDONESIA,1
PT TECHNOLAND ARYA UTAMA,1
PT TIARA ADI KENCANA,1
PT TOZY SENTOSA,1
PT TRAKTOR NUSANTARA,1
PT TRIPUTRA PERSADA RAHMAT,1
PT TRUBA ALAM MANUNGGAL,1
PT TUNGGAL MITRA PLANTATIONS,1
PT ULTRA PRIMA ABADI,1
PT URC INDONESIA,1
PT VIRGINIA OIL COMPANY,1
PT VIRTUAL MEDIA NUSANTARA,1
PT VISI SOLUSI TEKNOLOGI,1
PT WESTSIDE AGRITAMA,1
PT WIRAPANDU SUKSES MAKMUR,1
PT WISMILAK INTI MAKMUR TBK,1
PT YAKULT INDONESIA PERSADA,1
PT YANMAR AGRICULTURAL,1
PT YANMAR DIESEL INDONESIA,1
PT YUSEN AIR & SEA SERVICE,1
PT ZENIUS EDUCATION,1
PT ZTE INDONESIA,1
PT. ABBOTT INDONESIA,1
PT. ABBOTT PRODUCTS INDONESIA,1
PT. ACTAVIS INDONESIA,1
PT. AGATE INTERNATIONAL,1
PT. AMCAPITAL INDONESIA,1
PT. ANGGADA DUTA WISESA,1
PT. ANUGERAH TUNGGAL MANDIRI,1
PT. ARKON PRIMA INDONESIA,1
PT. ASURANSI JASINDO SYARIAH,1
PT. BAKRIE TELECOM TBK,1
PT. BALI TOWERINDO SENTRA TBK,1
"PT. BANK JTRUST INDONESIA, TBK",1
PT. BANK PERKREDITAN RAKYAT,1
PT. BANK WINDU KENTJANA,1
PT. BCCARD ASIA PACIFIC,1
PT. BEHN MEYER CHEMICALS,1
PT. BERITAGAR MEDIA DIPANTARA,1
PT. BUMI AMARTHA TEKNOLOGI,1
PT. BUMI BERKAH BOGA,1
PT. CATERPILLAR INDONESIA,1
PT. CIPTA MAPAN LOGISTIC,1
PT. CIPTADANA ASSET MANAGEMENT,1
PT. CITRAKOPRASINDO TANI,1
PT. CORTEVA AGRISCIENCE,1
PT. CUSHMAN & WAKEFIELD,1
PT. DIDANATANECA TEKNOLOGI,1
PT. DJOJONEGORO C-1000,1
PT. ERHA ARYA MEDIC,1
PT. ETERNO SYSTEM INDONESIA,1
PT. EUPEC INDONESIA,1
PT. EVERSHINE TEX,1
PT. FILTECH INDONESIA,1
PT. GENERASI DIGITAL,1
PT. GLOBAL COMM NUSANTARA,1
PT. GRAHA INDISPORT,1
PT. HANIL JAYA STEEL INDONESIA,1
PT. HD FINANCE TBK,1
PT. HEXINDO GEMILANG JAYA,1
PT. INDO PENTA BUMI PERMAI,1
PT. INDONESIA WACOAL,1
PT. INNOVATIVE PLASTIC,1
PT. JUSTUS SAKTI RAYA,1
PT. KALTIM POST,1
PT. KGI SEKURITAS INDONESIA,1
PT. LATINUSA TBK,1
PT. LINTAS TEKNOLOGI INDONESIA,1
PT. LOGISTIK OPTIMISASI,1
PT. LUCKY INDAH KERAMIK,1
PT. MAHAKA MEDIA TBK,1
PT. MALEO CREATIVE,1
PT. MEDIA INVESTAMA INDONESIA,1
PT. MEKAR ARMADA JAYA,1
PT. MERAK JAYA BETON,1
PT. METROPOLITAN TELEVISINDO,1
PT. MUGI REKSO ABADI,1
PT. NSSOL SYSTEMS INDONESIA,1
PT. NUSANTARA DUTA SOLUSINDO,1
PT. NUTRIFOOD INDONESIA,1
PT. OBERTHUR TECHNOLOGIES,1
PT. PALMA SERASIH TBK,1
PT. PANCA TEKNOLOGI NUSWANTARA,1
PT. PANDU PROFESINDO,1
PT. PANVERTA CAKRAKENCANA,1
PT. PCDC PROPCO ONE,1
PT. PETEKA KARYA SAMUDRA,1
PT. PISMA PUTRA TEXTILE,1
PT. PRATAPA NIRMALA,1
PT. PRIAMANAYA ENERGI,1
PT. PRICOL SURYA,1
PT. PRISMA GLOBAL SOLUSI,1
PT. QEON INTERACTIVE,1
PT. RIKEN INDONESIA,1
PT. SADHANA,1
PT. SARI MURNI ABADI,1
PT. SBA WOOD INDUSTRIES,1
PT. SENTRA PARAMITRA,1
PT. SIANTAR MADJU,1
PT. SOFTNET INDONESIA,1
PT. SQUARE GATE ONE,1
PT. STOCKBIT SEKURITAS DIGITAL,1
PT. STRATEGIC PARTNER SOLUTION,1
PT. SUMIDEN SINTERED,1
PT. SUPREME ENERGY RANTAU,1
PT. SURYA HUTANI JAYA,1
PT. SURYA PEMENANG,1
PT. SURYASOFT KONSULTAMA,1
PT. SUTINDO RAYA MULIA,1
PT. SYSTEM TREE TECHNOLOGY,1
PT. TAMTAMA PERKASA,1
PT. TELADAN PRIMA GROUP,1
PT. TIGA GLOBAL SEJAHTERA,1
PT. TIMAS SUPLINDO,1
PT. TRAINOCATE NETWORKS,1
PT. TRI WAHANA UNIVERSAL,1
PT. TRISTAR TRANSINDO,1
PT. WIJAYA KENCANA PRATAMA,1
PT. WIRAKARYA SAKTI,2
PT. XL PLANET,1
PT. YUSEN LOGISTICS INDONESIA,1
PT.ALTROS TEKNOLOGI,1
PT.ENERGI SEJAHTERA MAS,1
PT.MULTI ARTHA SEJAHTERA ABADI,1
PT.SNET INDONESIA,1
PT.SURI TANI PEMUKA,1
PT.SURYA DONASIN,1
PT.UNA DARMA INDONESIA,1
PTP NUSANTARA - IV (PERSERO),1
PUSKESMAS KECAMATAN TEBET,1
RADANA FINANCE,1
RAJAWALI GROUP CORPORATION,1
RED STUDIO,1
RICHLAND LOGISTICS INDONESIA,1
ROXCEL INDONESIA,1
"ROYAL STANDARD, PT",1
RS PELNI PETAMBURAN,1
RSUD DR. MARGONO SOEKARJO,1
RSUD TARAKAN,1
RSUP DR. HASAN SADIKIN,1
RUMAH SAKIT ADI HUSADA UDAAN,1
RUMAH SAKIT MATA AINI,1
RUMAH SAKIT OMNI ALAM SUTERA,1
RUMAH SAKIT SATYA NEGARA,1
SARANA UNGGUL TRANSPORTINDO,1
SEKOLAH TINGGI ILMU KESEHATAN,1
SEKRETARIAT DPR,1
SEKRETARIAT INSPEKTORAT JENDER,1
SIRCLO,1
SUDO MOBILE,1
SUMBER ALFARIA TRIJAYA TBK,1
SUNBAY AG,1
SUNTORY BEVERAGE & FOOD ASIA,1
"SUPER MICRO COMPUTER, INC",1
SUPERMAL KARAWACI PT,1
"SUTINDO ANUGERAH SEJAHTERA, PT",1
SYNIVERSE TECHNOLOGIES,1
THE BRITISH INTERNATIONAL,1
THE ROYAL BANK OF SCOTLAND NV,1
TIM NASIONAL PERCEPATAN,1
TOKO GUNUNG AGUNG,1
TRANSASIA SECURITIES PT,1
TRIMERA MEDIA UTAMA,1
TUNAS RIDEAN TBK,1
UNIVERSITAS ISLAM NEGERI SUNAN,1
UNIVERSITAS KATOLIK,1
UNIVERSITAS MATARAM,1
UNIVERSITAS MUHAMMADIYAH,1
UNIVERSITAS NEGERI MAKASSAR,2
UNIVERSITAS NEGERI MEDAN,2
UNIVERSITAS NEGERI YOGYAKARTA,1
UNIVERSITAS NUSA CENDANA,1
UNIVERSITAS SURYA,1
"WIGO DISTRIBUSI FARMASI, PT",1
YAY. PENDIDIKAN JAYA,1
YAYASAN MENARA BHAKTI,1
YAYASAN PEGURUAN TINGGI,1
YAYASAN PERGURUAN TINGGI,1
ZETTA MEDIA,1
ZHONG XING TELECOM CORPORATION,1
T0012451,496
ADVANCE TECHNOLOGIES,1
AGUNG SEDAYU GROUP PT,1
ARI PANTU,1
ASIA COLUMBIA HOSPITAL,1
ASOSIASI SISTEM PEMBAYARAN,1
ASPEX KUMBONG,1
AUSTRALIAN EMBASSY JAKARTA,1
AUTORIDADE NACIONAL DO,1
BADAN PENDAPATAN DAERAH,1
BALAI PENELITIAN PERKEBUNAN,1
BALI HYATT HOTEL,1
BALI INTERCONTINENTAL RESORT,1
BANK DUTA,1
BANK PEMBANGUNAN DAERAH,1
BANK PEMBANGUNAN DAERAH NUSA,1
BANK PERKREDITAN RAKYAT JATIM,1
BELOWCEPEK.COM,1
BEND. PENGELUARAN RS JANTUNG &,1
BINA SARANA INFORMATIKA,1
BIZNET GIO CLOUD,1
BPKP PROPINSI SULUT,1
BRAWIJAYA UNIVERSITY,1
BRISTOL-MYERS SQUIBB INDONESIA,1
BUSANA APPAREL GROUP,1
BUT SANTOS (SAMPANG) PTY. LTD,1
BUT VISA INTERNATIONAL,1
BUT.PTTEP MALUNDA LIMITED,1
CEMINDO GEMILANG PT,1
"CENTRAL ASIA FINANCIAL, PT",1
"CENTURY TEXTILE INDUSTRY,PT",1
CIPTA MORTAR UTAMA,1
CIPTA MULTI USAHA PERKASA,1
"COLOROBBIA INDONESIA, PT",1
CONRAD BALI,1
CV SUKSES MAKMUR BERSAMA,1
"DANKOS LABORATORIES TBK, PT",1
DEP PENDIDIKAN & KEBUDAYAAN RI,1
DEPARTEMEN KEHUTANAN RI,1
DEPARTEMEN PERTANIAN,1
DEPARTEMEN SOSIAL,1
DIHARDJA SOFTWARE SOLUTION,1
DINAS PENDAPATAN DAERAH,1
DINAS PENDAPATAN DAERAH KOTA,1
DINAS PENDAPATAN KOTA BANDUNG,1
DINAS PENDIDIKAN PEMERINTAH,1
DINAS PENGELOLAAN KEUANGAN,1
DIPENDA TK II MUSI RAWAS,1
DIPENDA TK.I JAWA TIMUR,1
DIREKTORAT PBB,1
DISPENDA SUMUT,1
"DUTA ANGGADA REALTY TBK, PT",1
ELECTRONIC SOLUTIONS,1
"ETRADING SECURITIES, PT",1
FAKULTAS ILMU KOMPUTER UB,1
FIRST RESOURCES GROUP,1
GEOTECH SYSTEM INDONESIA,1
GIESECKE & DEVRIENT INDONESIA,1
GMB 5B PCD COMPUTER & PROFESSI,1
GUMCODE IT SOLUTION,1
HYATT REGENCY SURABAYA,1
HYATT REGENCY YOGYAKARTA,1
IFCA CONSULTING INDONESIA,1
INDOMAS SUSEMI JAYA,1
INSTITUT TEKNOLOGI TELKOM,1
INTRASARI RAYA,1
IPTN,1
JAYA MANDIRI SUKSES,1
"JAYA PROTEKSINDO SAKTI, PT",1
KANTOR ARSIP DAN PERPUSTAKAAN,1
KAROSERI LAKSANA,1
KEJAKSAAN AGUNG RI,1
KEMENTERIAN LINGKUNGAN HIDUP,1
KIA MOTOR,1
KOPERASI KREDIT CU LANTANG,1
KOPERASI SIMPAN PINJAM,1
KUFPEC REGIONAL VENTURES,1
LASMO KRUENG MANE LIMITED,1
LINTAS MEDIA DANAWA,1
MAHANUSA,1
MAJALAH INVESTOR,1
MANDARIN ORIENTAL HOTEL,1
MANDOM INDONESIA,1
MASSINDO INTERNASIONAL,1
MEGASARI MAKMUR,1
MEKAR ARMADA INVESTAMA,1
"METRO BATAVIA, PT",1
MICHELIN ASIA CO. PTE. LTD,1
MIDTOWN HOTEL SURABAYA,1
"MIKATASA AGUNG, PT",1
MUBADALA ENERGY,1
MURNI TEGUH HOSPITAL,1
NAV KARAOKE KELUARGA,1
NOKIA CORPORATION,1
NURKHOLISAH KUSMIYATI,1
PACIFIC INTERLINK SDN BHD,1
PANCA WANA INDONESIA,1
PAU ILMU KOMPUTER UI,1
PD.AIR MINUM KAB. DATI II,1
PDAM KOTA BALIKPAPAN,1
PDAM PAM JAYA,1
PELNI HOSPITAL,1
PEMDA TK.I JAWA BARAT,1
PEMKOT YOGYA,1
PERFORMANCE MATERIAL PRODUCTS,1
PERMATA ENERGY RESOURCE,1
PERMATA HIJAU SAWIT GROUP,1
PERWAKILAN BPKP PROV DI,1
PETRONAS CARIGALI BERHAD LTD,1
POLITEKNIK NEGERI MEDAN,1
POLITEKNIK NEGERI SRIWIJAYA,1
PRAWEDA CIPTAKARSA INFORMATIKA,2
PT (PERSERO) ASURANSI EKSPOR,1
PT (PERSERO) PELABUHAN,1
PT A SCHULMAN PLASTICS,1
PT ABB SAKTI INDUSTRI,1
PT ADE TEXTILE INDUSTRY,1
PT AKR CORPORINDO TBK,1
PT AKUR PRATAMA,1
PT ALIANSI LINTAS TEKNOLOGI,1
PT ALTO NETWORK,1
PT ALUN,1
PT AMSTILL SECURITIES,1
PT AMWAY INDONESIA,1
PT ANDALAS MEDIA INFORMATIKA,1
PT ANDREWTANI INDONESIA,1
PT ANOMALI LINTAS TEKNOLOGI,1
PT ANUGERAH LANGKAT MAKMUR,1
PT AQUAFARM NUSANTARA,1
PT ARGO PANTES,1
PT ARTHAS ENERGY PETROGAS,1
PT ASIMETRIS DATA SENTOSA,1
PT AXIS TELEKOM INDONESIA,1
PT BAKRIE CAPITAL INDONESIA,1
PT BALI ANIMASI SOLUSI,1
PT BANK ANDARA,1
PT BANK HANVIT INDONESIA,1
PT BANK HARFA,1
PT BAYER INDONESIA,1
PT BERCA GLOBAL ACCESS,1
PT BERCA HARDAYAPERKASA,1
PT BERCA SCHINDLER LIFTS,1
PT BERCA SPORTINDO,1
PT BERSAMA SEJAHTERA SAKTI,1
PT BETON ELEMENINDO PERKASA,1
PT BIROTIKA SEMESTA,1
PT BUMI MODERN,1
PT BUMIPUTERA BOT FINANCE,1
PT CAKRAWALA INTI TEKNOLOGI,1
PT CHARADE INDONESIA,1
PT CIPTADANA SEKURITAS,1
PT CODEPHILE REKADAYA MANDIRI,1
PT CRYSTAL ANUGERAH ABADI,1
PT DARYA-VARIA LABORATORIA TBK,1
PT DATACRAFT INDONESIA,1
PT DATAMATION PURWANA UTAMA,1
PT DELAMI GARMENT INDUSTRIES,1
PT DELCOPRIMA PACIFIC,1
PT DELOITTE KONSULTAN,1
PT DENKI INDONESIA,1
PT DHARMA POLIMETAL,1
PT DIPA PHARMALABS INTERSAINS,1
PT DISTRIBUSI SURYA KENCANA,1
PT DKSH TUNGGAL,1
PT DUPONT AGRICULTURAL PRODUCT,1
PT DUTA VISUAL NUSANTARA,1
PT DUTAPALMA NUSANTARA,1
PT DWIDAYA INDO EXCHANGE,1
PT EDI INDONESIA,1
PT EKA BOGA INTI,1
PT ENERGI TATA PERSADA,1
PT ERA MEDIA INFORMASI,1
PT ETERINDO WAHANATAMA TBK,1
PT ETHICA INDUSTRI FARMASI,1
PT EVERGREEN MARINE INDONESIA,1
PT EVERGREEN SHIPPING AGENCY,1
PT EXECUTRAIN NUSANTARAJAYA,1
PT FARMINDO ADIJAYA PERSADA,1
PT FIRMENICH INDONESIA,1
PT FIT AND HEALTH INDONESIA,1
PT FUMIRA,1
PT GALUH CITARUM,1
PT GAMYA,1
PT GAWI MAKMUR KALIMANTAN,1
PT GE FINANCE INDONESIA,1
PT GEMA KARYA ABADI,1
PT GEOTECH SYSTEM INDONESIA,1
PT GLOBAL PUTRA INTERNATIONAL,1
